"from","to","weight"
"Foreign Affairs: Migration & Borders","Psychological Response: Mental Health & Mindset",115
"Foreign Affairs: Migration & Borders","Real Estate Market",100
"Health Disaster & Pandemics","AI & Robotics",19
"Health Disaster & Pandemics","Community Response: Literature Reccomendation",69
"Health Disaster & Pandemics","Community Response: Meta-Discussion & r/collapse as Community",55
"Health Disaster & Pandemics","Community Response: Skepticism of Climate Change & Collapse",3
"Health Disaster & Pandemics","Demographic Challenges",12
"Health Disaster & Pandemics","Foreign Affairs: Geopolitics & Conflict & War & Military",77
"Health Disaster & Pandemics","Foreign Affairs: Migration & Borders",21
"Health Disaster & Pandemics","Internal Affairs: Riot & Murder & Civil War",25
"Health Disaster & Pandemics","Labor & Employment",51
"Health Disaster & Pandemics","Macroeconomics & Systemic Risk",59
"Health Disaster & Pandemics","Nuclear Power",7
"Health Disaster & Pandemics","Personal Finance & Assets",94
"Health Disaster & Pandemics","Practical Response: Adaptation & Preparedness",82
"Health Disaster & Pandemics","Practical Response: Public Awareness & Media & Information",46
"Health Disaster & Pandemics","Psychological Response: Fictional Description",16
"Health Disaster & Pandemics","Psychological Response: Mental Health & Mindset",84
"Health Disaster & Pandemics","Real Estate Market",62
"Health Disaster & Pandemics","Societal & Cultural Decay",24
"Health Disaster & Pandemics","Systemic Inequality & Systemic Critique",47
"Internal Affairs: Riot & Murder & Civil War","AI & Robotics",23
"Internal Affairs: Riot & Murder & Civil War","Community Response: Literature Reccomendation",104
"Internal Affairs: Riot & Murder & Civil War","Community Response: Meta-Discussion & r/collapse as Community",87
"Internal Affairs: Riot & Murder & Civil War","Community Response: Skepticism of Climate Change & Collapse",6
"Internal Affairs: Riot & Murder & Civil War","Foreign Affairs: Geopolitics & Conflict & War & Military",175
"Internal Affairs: Riot & Murder & Civil War","Foreign Affairs: Migration & Borders",51
"Internal Affairs: Riot & Murder & Civil War","Labor & Employment",69
"Internal Affairs: Riot & Murder & Civil War","Macroeconomics & Systemic Risk",110
"Internal Affairs: Riot & Murder & Civil War","Nuclear Power",13
"Internal Affairs: Riot & Murder & Civil War","Personal Finance & Assets",140
"Internal Affairs: Riot & Murder & Civil War","Practical Response: Adaptation & Preparedness",107
"Internal Affairs: Riot & Murder & Civil War","Practical Response: Public Awareness & Media & Information",82
"Internal Affairs: Riot & Murder & Civil War","Psychological Response: Fictional Description",22
"Internal Affairs: Riot & Murder & Civil War","Psychological Response: Mental Health & Mindset",123
"Internal Affairs: Riot & Murder & Civil War","Real Estate Market",94
"Labor & Employment","AI & Robotics",253
"Labor & Employment","Community Response: Literature Reccomendation",175
"Labor & Employment","Community Response: Meta-Discussion & r/collapse as Community",155
"Labor & Employment","Community Response: Skepticism of Climate Change & Collapse",6
"Labor & Employment","Nuclear Power",17
"Labor & Employment","Practical Response: Adaptation & Preparedness",194
"Labor & Employment","Practical Response: Public Awareness & Media & Information",151
"Labor & Employment","Psychological Response: Fictional Description",42
"Labor & Employment","Psychological Response: Mental Health & Mindset",212
"Macroeconomics & Systemic Risk","AI & Robotics",97
"Macroeconomics & Systemic Risk","Community Response: Literature Reccomendation",256
"Macroeconomics & Systemic Risk","Community Response: Meta-Discussion & r/collapse as Community",203
"Macroeconomics & Systemic Risk","Community Response: Skepticism of Climate Change & Collapse",14
"Macroeconomics & Systemic Risk","Labor & Employment",293
"Macroeconomics & Systemic Risk","Nuclear Power",34
"Macroeconomics & Systemic Risk","Personal Finance & Assets",458
"Macroeconomics & Systemic Risk","Practical Response: Adaptation & Preparedness",279
"Macroeconomics & Systemic Risk","Practical Response: Public Awareness & Media & Information",190
"Macroeconomics & Systemic Risk","Psychological Response: Fictional Description",67
"Macroeconomics & Systemic Risk","Psychological Response: Mental Health & Mindset",299
"Macroeconomics & Systemic Risk","Real Estate Market",306
"Natural Disaster (Geosphere & Seismic Activity)","AI & Robotics",14
"Natural Disaster (Geosphere & Seismic Activity)","Community Response: Literature Reccomendation",57
"Natural Disaster (Geosphere & Seismic Activity)","Community Response: Meta-Discussion & r/collapse as Community",33
"Natural Disaster (Geosphere & Seismic Activity)","Community Response: Skepticism of Climate Change & Collapse",2
"Natural Disaster (Geosphere & Seismic Activity)","Foreign Affairs: Geopolitics & Conflict & War & Military",60
"Natural Disaster (Geosphere & Seismic Activity)","Foreign Affairs: Migration & Borders",23
"Natural Disaster (Geosphere & Seismic Activity)","Health Disaster & Pandemics",12
"Natural Disaster (Geosphere & Seismic Activity)","Internal Affairs: Riot & Murder & Civil War",22
"Natural Disaster (Geosphere & Seismic Activity)","Labor & Employment",37
"Natural Disaster (Geosphere & Seismic Activity)","Macroeconomics & Systemic Risk",47
"Natural Disaster (Geosphere & Seismic Activity)","Nuclear Power",7
"Natural Disaster (Geosphere & Seismic Activity)","Personal Finance & Assets",65
"Natural Disaster (Geosphere & Seismic Activity)","Practical Response: Adaptation & Preparedness",53
"Natural Disaster (Geosphere & Seismic Activity)","Practical Response: Public Awareness & Media & Information",33
"Natural Disaster (Geosphere & Seismic Activity)","Psychological Response: Fictional Description",5
"Natural Disaster (Geosphere & Seismic Activity)","Psychological Response: Mental Health & Mindset",47
"Natural Disaster (Geosphere & Seismic Activity)","Real Estate Market",52
"Natural Disaster (Geosphere & Seismic Activity)","Societal & Cultural Decay",20
"Natural Disaster (Geosphere & Seismic Activity)","Systemic Inequality & Systemic Critique",27
"Nuclear Power","AI & Robotics",11
"Nuclear Power","Community Response: Literature Reccomendation",27
"Nuclear Power","Community Response: Meta-Discussion & r/collapse as Community",13
"Nuclear Power","Practical Response: Adaptation & Preparedness",30
"Nuclear Power","Practical Response: Public Awareness & Media & Information",13
"Nuclear Power","Psychological Response: Fictional Description",6
"Nuclear Power","Psychological Response: Mental Health & Mindset",22
"Personal Finance & Assets","AI & Robotics",111
"Personal Finance & Assets","Community Response: Literature Reccomendation",388
"Personal Finance & Assets","Community Response: Meta-Discussion & r/collapse as Community",284
"Personal Finance & Assets","Community Response: Skepticism of Climate Change & Collapse",20
"Personal Finance & Assets","Labor & Employment",318
"Personal Finance & Assets","Nuclear Power",46
"Personal Finance & Assets","Practical Response: Adaptation & Preparedness",455
"Personal Finance & Assets","Practical Response: Public Awareness & Media & Information",271
"Personal Finance & Assets","Psychological Response: Fictional Description",102
"Personal Finance & Assets","Psychological Response: Mental Health & Mindset",453
"Personal Finance & Assets","Real Estate Market",580
"Pollution & Contamination","AI & Robotics",58
"Pollution & Contamination","Agriculture & Food Systems",302
"Pollution & Contamination","Community Response: Literature Reccomendation",210
"Pollution & Contamination","Community Response: Meta-Discussion & r/collapse as Community",130
"Pollution & Contamination","Community Response: Skepticism of Climate Change & Collapse",5
"Pollution & Contamination","Demographic Challenges",31
"Pollution & Contamination","Foreign Affairs: Geopolitics & Conflict & War & Military",207
"Pollution & Contamination","Foreign Affairs: Migration & Borders",64
"Pollution & Contamination","Health Disaster & Pandemics",43
"Pollution & Contamination","Internal Affairs: Riot & Murder & Civil War",66
"Pollution & Contamination","Labor & Employment",133
"Pollution & Contamination","Macroeconomics & Systemic Risk",194
"Pollution & Contamination","Natural Disaster (Geosphere & Seismic Activity)",43
"Pollution & Contamination","Nuclear Power",28
"Pollution & Contamination","Personal Finance & Assets",288
"Pollution & Contamination","Practical Response: Adaptation & Preparedness",182
"Pollution & Contamination","Practical Response: Public Awareness & Media & Information",146
"Pollution & Contamination","Psychological Response: Fictional Description",35
"Pollution & Contamination","Psychological Response: Mental Health & Mindset",200
"Pollution & Contamination","Real Estate Market",178
"Pollution & Contamination","Societal & Cultural Decay",74
"Pollution & Contamination","Systemic Inequality & Systemic Critique",116
"Practical Response: Adaptation & Preparedness","Community Response: Literature Reccomendation",320
"Practical Response: Adaptation & Preparedness","Community Response: Meta-Discussion & r/collapse as Community",264
"Practical Response: Adaptation & Preparedness","Community Response: Skepticism of Climate Change & Collapse",13
"Practical Response: Adaptation & Preparedness","Practical Response: Public Awareness & Media & Information",224
"Practical Response: Public Awareness & Media & Information","Community Response: Literature Reccomendation",521
"Practical Response: Public Awareness & Media & Information","Community Response: Meta-Discussion & r/collapse as Community",225
"Practical Response: Public Awareness & Media & Information","Community Response: Skepticism of Climate Change & Collapse",11
"Psychological Response: Fictional Description","Community Response: Literature Reccomendation",311
"Psychological Response: Fictional Description","Community Response: Meta-Discussion & r/collapse as Community",75
"Psychological Response: Fictional Description","Community Response: Skepticism of Climate Change & Collapse",3
"Psychological Response: Fictional Description","Practical Response: Adaptation & Preparedness",85
"Psychological Response: Fictional Description","Practical Response: Public Awareness & Media & Information",68
"Psychological Response: Mental Health & Mindset","Community Response: Literature Reccomendation",359
"Psychological Response: Mental Health & Mindset","Community Response: Meta-Discussion & r/collapse as Community",333
"Psychological Response: Mental Health & Mindset","Community Response: Skepticism of Climate Change & Collapse",24
"Psychological Response: Mental Health & Mindset","Practical Response: Adaptation & Preparedness",392
"Psychological Response: Mental Health & Mindset","Practical Response: Public Awareness & Media & Information",263
"Psychological Response: Mental Health & Mindset","Psychological Response: Fictional Description",84
"Real Estate Market","AI & Robotics",62
"Real Estate Market","Community Response: Literature Reccomendation",230
"Real Estate Market","Community Response: Meta-Discussion & r/collapse as Community",167
"Real Estate Market","Community Response: Skepticism of Climate Change & Collapse",9
"Real Estate Market","Labor & Employment",173
"Real Estate Market","Nuclear Power",14
"Real Estate Market","Practical Response: Adaptation & Preparedness",274
"Real Estate Market","Practical Response: Public Awareness & Media & Information",156
"Real Estate Market","Psychological Response: Fictional Description",56
"Real Estate Market","Psychological Response: Mental Health & Mindset",255
"Resource Depletion & Energy","AI & Robotics",133
"Resource Depletion & Energy","Agriculture & Food Systems",696
"Resource Depletion & Energy","Community Response: Literature Reccomendation",503
"Resource Depletion & Energy","Community Response: Meta-Discussion & r/collapse as Community",346
"Resource Depletion & Energy","Community Response: Skepticism of Climate Change & Collapse",15
"Resource Depletion & Energy","Demographic Challenges",58
"Resource Depletion & Energy","Ecosystem & Biodiversity",515
"Resource Depletion & Energy","Foreign Affairs: Geopolitics & Conflict & War & Military",661
"Resource Depletion & Energy","Foreign Affairs: Migration & Borders",188
"Resource Depletion & Energy","Health Disaster & Pandemics",103
"Resource Depletion & Energy","Internal Affairs: Riot & Murder & Civil War",159
"Resource Depletion & Energy","Labor & Employment",298
"Resource Depletion & Energy","Macroeconomics & Systemic Risk",537
"Resource Depletion & Energy","Natural Disaster (Geosphere & Seismic Activity)",87
"Resource Depletion & Energy","Nuclear Power",88
"Resource Depletion & Energy","Personal Finance & Assets",707
"Resource Depletion & Energy","Pollution & Contamination",420
"Resource Depletion & Energy","Practical Response: Adaptation & Preparedness",539
"Resource Depletion & Energy","Practical Response: Public Awareness & Media & Information",341
"Resource Depletion & Energy","Psychological Response: Fictional Description",119
"Resource Depletion & Energy","Psychological Response: Mental Health & Mindset",487
"Resource Depletion & Energy","Real Estate Market",446
"Resource Depletion & Energy","Societal & Cultural Decay",146
"Resource Depletion & Energy","Systemic Inequality & Systemic Critique",311
"Societal & Cultural Decay","AI & Robotics",39
"Societal & Cultural Decay","Community Response: Literature Reccomendation",100
"Societal & Cultural Decay","Community Response: Meta-Discussion & r/collapse as Community",69
"Societal & Cultural Decay","Community Response: Skepticism of Climate Change & Collapse",4
"Societal & Cultural Decay","Foreign Affairs: Geopolitics & Conflict & War & Military",112
"Societal & Cultural Decay","Foreign Affairs: Migration & Borders",40
"Societal & Cultural Decay","Internal Affairs: Riot & Murder & Civil War",84
"Societal & Cultural Decay","Labor & Employment",83
"Societal & Cultural Decay","Macroeconomics & Systemic Risk",107
"Societal & Cultural Decay","Nuclear Power",15
"Societal & Cultural Decay","Personal Finance & Assets",131
"Societal & Cultural Decay","Practical Response: Adaptation & Preparedness",83
"Societal & Cultural Decay","Practical Response: Public Awareness & Media & Information",91
"Societal & Cultural Decay","Psychological Response: Fictional Description",17
"Societal & Cultural Decay","Psychological Response: Mental Health & Mindset",95
"Societal & Cultural Decay","Real Estate Market",71
"Societal & Cultural Decay","Systemic Inequality & Systemic Critique",85
"Systemic Inequality & Systemic Critique","AI & Robotics",56
"Systemic Inequality & Systemic Critique","Community Response: Literature Reccomendation",187
"Systemic Inequality & Systemic Critique","Community Response: Meta-Discussion & r/collapse as Community",155
"Systemic Inequality & Systemic Critique","Community Response: Skepticism of Climate Change & Collapse",14
"Systemic Inequality & Systemic Critique","Foreign Affairs: Geopolitics & Conflict & War & Military",233
"Systemic Inequality & Systemic Critique","Foreign Affairs: Migration & Borders",87
"Systemic Inequality & Systemic Critique","Internal Affairs: Riot & Murder & Civil War",73
"Systemic Inequality & Systemic Critique","Labor & Employment",180
"Systemic Inequality & Systemic Critique","Macroeconomics & Systemic Risk",444
"Systemic Inequality & Systemic Critique","Nuclear Power",18
"Systemic Inequality & Systemic Critique","Personal Finance & Assets",253
"Systemic Inequality & Systemic Critique","Practical Response: Adaptation & Preparedness",196
"Systemic Inequality & Systemic Critique","Practical Response: Public Awareness & Media & Information",140
"Systemic Inequality & Systemic Critique","Psychological Response: Fictional Description",53
"Systemic Inequality & Systemic Critique","Psychological Response: Mental Health & Mindset",188
"Systemic Inequality & Systemic Critique","Real Estate Market",155
